Date,Batch,Sector,Region,AvRating,Tier,Recovery,Spread6M,Spread1Y,Spread2Y,Spread3Y,Spread4Y,Spread5Y,Spread7Y,Spread10Y,Spread15Y,Spread20Y,Spread30Y
44320,EOD_V2,Energy,Oceania,B,SNRFOR,0.4,0.0142771957081071,0.0170808386390392,0.0247104213386519,0.0308619019443662,0.035417426267087,0.0389273568136966,0.0425016733498936,0.0430723076433555,0.0429148857553332,0.0426664107642075,0.0425763961667979
44320,EOD_V2,Basic Materials,Asia ex-Japan,A,SNRFOR,0.4,0.000935469539921706,0.001048584559485,0.00168149439202131,0.00241627978704268,0.00325196092508857,0.00415592089525417,0.00572304890189973,0.0070972361637948,0.00764230477534924,0.00793647587689735,0.00820984069466375
44320,EOD_V2,Consumer Goods,Eastern Europe,A,SNRFOR,0.25,0.00159984399833686,0.00189897971416126,0.00261585625254367,0.00346568006718224,0.00432494551709896,0.0053125729931381,0.00697234780156673,0.00823591130378735,0.00885782373705952,0.0090091866711873,0.00918087126287026
44320,EOD_V2,Consumer Goods,Japan,BB,SNRFOR,0.35,0.00263607723682378,0.00308794018105838,0.00486565115846922,0.00640282466991356,0.00841404784477312,0.0101108593360047,0.0119959458878468,0.0125130815711303,0.012715989908323,0.0128019371807918,0.0130043363262954
44320,EOD_V2,Utilities,Oceania,BBB,SNRFOR,0.4,0.00164690005929783,0.00190793411353573,0.00304264039356274,0.0042196592867135,0.00556056800793462,0.00684714516644108,0.00850235830301131,0.00964802587875275,0.0100205685669103,0.0102111863525088,0.0104555342056116
44320,EOD_V2,Energy,Middle East,BB,SNRFOR,0.25,0.0168008562793288,0.0192759471508372,0.0233905708973322,0.0272462188653145,0.0309526377382126,0.0342751054537908,0.0391480746867514,0.0411554529800872,0.042704196014279,0.0432292511995223,0.0437863494764824
44320,EOD_V2,Corporates with Financials,Europe,AA,SNRFOR,0.4,0.000757819373950393,0.000930643002897105,0.00138464146542171,0.00184216280538043,0.00238035229817518,0.00295705368915132,0.00392819259736366,0.00480790531050817,0.00530722552364392,0.00554030781005519,0.00583555421393518
44320,EOD_V2,Consumer Goods,Latin America,AA,SNRFOR,0.25,0.00190049789031613,0.00221710687968005,0.00287191755248834,0.0035741756100838,0.0043839490473158,0.0052413696286789,0.00654337994428492,0.0077810080896918,0.00839942899118909,0.00872541108798421,0.00911369069516126
44320,EOD_V2,Financials,Eastern Europe,B,SNRFOR,0.25,0.0260964740132022,0.0318908560787,0.038732072242309,0.0434952792620165,0.0461582258693735,0.0496790920432409,0.0534139920919417,0.0538257497853855,0.0541572085509681,0.0537062855446642,0.0535000048310175
44320,EOD_V2,Corporates,Middle East,B,SNRFOR,0.25,0.0269925129406654,0.0329455107867598,0.0402415669230041,0.0460128298540473,0.0512092747042354,0.0561549693591463,0.0621133225586023,0.0634744056377852,0.0645869010584237,0.0649999077691413,0.0651882891337157
44320,EOD_V2,Utilities,Middle East,CCC,SNRFOR,0.25,0.0858349034204091,0.0878666437687961,0.0904622938286551,0.0941881261504067,0.0993305170247106,0.100820810116235,0.100710480827805,0.0983105870008836,0.0988383150188485,0.098324036288279,0.0978418089771119
44320,EOD_V2,Energy,,CCC,SNRFOR,0.4,0.0543142439565573,0.0578614737039396,0.0670308357497128,0.0758781665221226,0.0816450597576366,0.0842018416682245,0.0849831248917859,0.0838132099590844,0.0846139444387747,0.0843092932453123,0.0840214324382552
44320,EOD_V2,Consumer Services,Eastern Europe,BB,SNRFOR,0.25,0.00763343222983284,0.00948016355595688,0.0128680369496775,0.0160957631932076,0.0190957252290754,0.0222718730592433,0.0267618530917517,0.0288120660205317,0.0300758790148372,0.03020479106675,0.0304796798273332
44320,EOD_V2,Consumer Services,North America,BB,SNRFOR,0.4,0.00359950105381228,0.00463227011636552,0.00723249634479845,0.0101734787199965,0.0132540480739799,0.0165209898663488,0.0208112885460119,0.0230948580351212,0.0245577896310547,0.0252835527827184,0.0258133276161849
44320,EOD_V2,Consumer Goods,,A,SNRFOR,0.4,0.00070237836031118,0.000853664503784371,0.00135244467465125,0.00196839844571401,0.00268954018532124,0.00346672989203644,0.00472885743270842,0.00572988121967101,0.0062284238426675,0.00649408189858309,0.00673283149007921
44320,EOD_V2,Technology,Europe,CCC,SNRFOR,0.4,0.0291552695034376,0.0339708829912651,0.0396925679454487,0.0462709201911776,0.0517017570402229,0.0535885214577534,0.0557003282375564,0.0551860385389157,0.0560535787814383,0.0559385057742047,0.0556337478638393
44320,EOD_V2,Industrials,North America,B,SNRFOR,0.4,0.00934487579573824,0.0119800608889575,0.0175826275478606,0.022949163951522,0.0276861202403473,0.0326855039017877,0.0380387542353847,0.0405000560912848,0.0419560387536862,0.0425639859579639,0.04287420220249
44320,EOD_V2,Corporates with Financials,Eastern Europe,A,SNRFOR,0.25,0.00237252942032062,0.00282576745199953,0.00369086191938843,0.00466691416873743,0.00555523324548575,0.00660852988802364,0.00825468857384288,0.00951349184892568,0.0102697638709965,0.0103827533640207,0.0105655486847503
44320,EOD_V2,Corporates,,BB,SNRFOR,0.4,0.00450019924199733,0.0055462747664608,0.00826290219928238,0.0111362898013776,0.014059724335278,0.0169240687542956,0.020665239721376,0.0227472608115948,0.0239524289824952,0.0244924857963748,0.0249654972614882
44320,EOD_V2,Corporates with Financials,North America,CCC,SNRFOR,0.4,0.0297831534672433,0.0332303409909425,0.0413121174369792,0.0501919712810356,0.0572012453085863,0.0619253368381908,0.064662830887508,0.0645720778428247,0.0664705602029133,0.0665539179473663,0.0663676681378254
