0.96,
0.69,
0.53,
0.43,
0.36,
0.31,
0.28,
0.26,
0.24,
0.71,
0.52,
0.4,
0.32,
0.27,
0.24,
0.21,
0.19,
0.59,
0.43,
0.33,
0.26,
0.22,
0.2,
0.18,
0.51,
0.37,
0.28,
0.23,
0.2,
0.17,
0.45,
0.33,
0.26,
0.21,
0.18,
0.4,
0.3,
0.24,
0.19,
0.4,
0.29,
0.22,
0.36,
0.26,
0.34,
