5, -34.07, -1.52795e-10, -59.07, 12661.6, -9.07, -12661.6
10, 5.05, -2.00998e-10, -19.95, 25245.7, 30.05, -25245.7
15, 33.3, -6.1118e-10, 8.3, 37356.6, 58.3, -37356.6
20, 46.45, -3.49246e-10, 21.45, 48926.4, 71.45, -48926.4
25, 49.94, 7.85803e-10, 24.94, 60078.3, 74.94, -60078.3
30, 49.4, -3.49246e-10, 24.4, 70933.4, 74.4, -70933.4
