3, 7, 77.75, 66.4884, 66.7555
3, 8, 77.32, 66.3378, 66.5345
3, 9, 76.94, 66.1473, 66.2881
3, 10, 76.51, 65.9481, 66.0372
3, 15, 74.04, 65.0166, 64.958
3, 20, 72.06, 64.2774, 64.1984
3, 25, 70.99, 63.6586, 63.6239
3, 30, 70.03, 63.0881, 63.1118
4, 1, 81.34, 67.2545, 67.8495
4, 2, 80.44, 67.1824, 67.6984
4, 3, 79.72, 67.1483, 67.5851
4, 4, 79.34, 67.012, 67.3789
4, 5, 78.7, 66.8594, 67.1625
4, 6, 78.04, 66.6925, 66.9387
4, 7, 77.4, 66.5496, 66.7349
4, 8, 76.89, 66.3562, 66.4965
4, 9, 76.24, 66.1568, 66.2553
4, 10, 75.59, 65.9551, 66.0182
4, 15, 72.67, 65.0651, 65.0379
4, 20, 70.69, 64.3307, 64.323
4, 25, 69.34, 63.7085, 63.7551
4, 30, 68.19, 63.1087, 63.2139
5, 1, 81.22, 67.3443, 67.799
5, 2, 80, 67.3549, 67.7324
5, 3, 79.21, 67.2079, 67.5286
5, 4, 78.64, 67.055, 67.323
5, 5, 78.16, 66.8891, 67.1101
5, 6, 77.31, 66.7548, 66.9216
5, 7, 76.5, 66.5631, 66.6937
5, 8, 75.86, 66.3619, 66.4589
5, 9, 75.09, 66.161, 66.2296
5, 10, 74.36, 65.9944, 66.0332
5, 15, 71.55, 65.1033, 65.1091
5, 20, 69.08, 64.3819, 64.4276
5, 25, 67.64, 63.748, 63.8541
5, 30, 66.34, 63.1189, 63.2794
6, 1, 80.02, 67.5968, 67.9112
6, 2, 78.94, 67.3874, 67.6652
6, 3, 78.18, 67.2236, 67.46
6, 4, 77.61, 67.0561, 67.2548
6, 5, 76.76, 66.9325, 67.0813
6, 6, 75.88, 66.7404, 66.8607
6, 7, 75.01, 66.5401, 66.6334
6, 8, 74.35, 66.3402, 66.411
6, 9, 73.56, 66.1771, 66.2222
6, 10, 72.71, 65.9854, 66.0239
6, 15, 69.9, 65.1188, 65.1583
6, 20, 67.46, 64.4006, 64.4928
6, 25, 65.9, 63.7567, 63.908
6, 30, 64.65, 63.0771, 63.2854
7, 1, 78.65, 67.4069, 67.6562
7, 2, 77.62, 67.2862, 67.4953
7, 3, 77.11, 67.144, 67.3182
7, 4, 76.26, 67.049, 67.1726
7, 5, 75.43, 66.8661, 66.9659
7, 6, 74.47, 66.6761, 66.7527
7, 7, 73.63, 66.4816, 66.5397
7, 8, 72.83, 66.3259, 66.3606
7, 9, 71.95, 66.1359, 66.1675
7, 10, 71.13, 65.9437, 65.9739
7, 15, 68.01, 65.1101, 65.1646
7, 20, 65.75, 64.4051, 64.5139
7, 25, 64.15, 63.7233, 63.8964
7, 30, 63.01, 63.0045, 63.2318
8, 1, 76.76, 67.3726, 67.5686
8, 2, 75.76, 67.2368, 67.4033
8, 3, 75.13, 67.1701, 67.2832
8, 4, 74.38, 66.9837, 67.0799
8, 5, 73.52, 66.7947, 66.8725
8, 6, 72.61, 66.6015, 66.6652
8, 7, 71.93, 66.4509, 66.4935
8, 8, 71.02, 66.2589, 66.3024
8, 9, 70.16, 66.0646, 66.11
8, 10, 69.38, 65.8758, 65.9245
8, 15, 66.38, 65.0739, 65.1599
8, 20, 64.11, 64.3398, 64.4927
8, 25, 62.51, 63.6248, 63.8407
8, 30, 61.53, 62.8646, 63.1319
9, 1, 75.07, 67.2815, 67.4653
9, 2, 73.79, 67.2653, 67.3853
9, 3, 73.2, 67.0631, 67.176
9, 4, 72.43, 66.8716, 66.9714
9, 5, 71.65, 66.6782, 66.7681
9, 6, 70.78, 66.533, 66.6037
9, 7, 69.85, 66.3372, 66.413
9, 8, 69.04, 66.1398, 66.2207
9, 9, 68.43, 65.948, 66.0346
9, 10, 67.65, 65.7898, 65.8737
9, 15, 64.63, 64.9669, 65.1128
9, 20, 62.39, 64.2155, 64.4304
9, 25, 60.84, 63.4601, 63.7353
9, 30, 60.03, 62.6664, 62.9867
10, 1, 73.42, 67.456, 67.5307
10, 2, 71.79, 67.1649, 67.2657
10, 3, 71.01, 66.9591, 67.0555
10, 4, 70.38, 66.7622, 66.8539
10, 5, 69.79, 66.622, 66.6961
10, 6, 68.85, 66.4195, 66.5035
10, 7, 68.03, 66.2188, 66.3109
10, 8, 67.32, 66.0202, 66.1214
10, 9, 66.76, 65.8615, 65.961
10, 10, 65.98, 65.6779, 65.7917
10, 15, 63.12, 64.8497, 65.0335
10, 20, 60.63, 64.0751, 64.328
10, 25, 59.05, 63.2867, 63.5931
10, 30, 58.46, 62.4434, 62.7951
15, 1, 65.67, 66.3373, 66.5507
15, 2, 64.74, 66.15, 66.3677
15, 3, 63.95, 65.9546, 66.1807
15, 4, 63.21, 65.8269, 66.0422
15, 5, 62.37, 65.6205, 65.8551
15, 6, 61.59, 65.4215, 65.6749
15, 7, 60.84, 65.2259, 65.4962
15, 8, 60.28, 65.0624, 65.3392
15, 9, 59.73, 64.8707, 65.1638
15, 10, 59.2, 64.6831, 64.9918
15, 15, 55.68, 63.7793, 64.1517
15, 20, 53.44, 62.8548, 63.2723
15, 25, 52.78, 61.8696, 62.323
15, 30, 52.31, 60.8607, 61.3414
20, 1, 60.42, 65.1858, 65.557
20, 2, 59.88, 64.9856, 65.3685
20, 3, 59.16, 64.8614, 65.2384
20, 4, 58.43, 64.6445, 65.0383
20, 5, 57.63, 64.4354, 64.8446
20, 6, 56.99, 64.2315, 64.6546
20, 7, 56.45, 64.0609, 64.4896
20, 8, 55.91, 63.8552, 64.2969
20, 9, 55.42, 63.6538, 64.1071
20, 10, 54.94, 63.4535, 63.9178
20, 15, 51.28, 62.4492, 62.9496
20, 20, 49.81, 61.3767, 61.9046
20, 25, 49.07, 60.272, 60.8195
20, 30, 48.48, 59.1306, 59.691
25, 1, 57.49, 64.0936, 64.5801
25, 2, 56.78, 64.0027, 64.4815
25, 3, 55.89, 63.7678, 64.2627
25, 4, 54.86, 63.554, 64.0609
25, 5, 54.34, 63.346, 63.8634
25, 6, 53.46, 63.172, 63.6932
25, 7, 53.41, 62.9589, 63.4889
25, 8, 52.99, 62.7457, 63.2831
25, 9, 52.59, 62.5299, 63.0742
25, 10, 52.18, 62.3351, 62.8823
