5, 251.122, 51.1481, 620.994, 85.804, 371.507, 45.7008, 430.178, 87.6229, 118.521, 31.6037, 889.92, 102.6
10, 848.987, 102.103, 3725.65, 329.331, 1342.7, 137.315, 2810.51, 260.798, 650.683, 97.4382, 4742.38, 351.593
15, 2606.48, 250.529, 8608.41, 606.562, 3452.64, 287.223, 6935.88, 574.953, 1982.27, 209.554, 11052.1, 709.616
20, 5676.47, 434.845, 15166.2, 1072.3, 7765.29, 524.087, 10996.2, 851.443, 4162.95, 358.968, 18308, 1142.85
25, 10141.5, 645.948, 20697.7, 1482.27, 13187.2, 752.888, 17321.4, 1346.94, 8263.79, 570.05, 25576.8, 1668.16
30, 16697.6, 918.545, 25610, 1921.53, 20887.8, 1056, 20484.3, 1721.8, 12982, 778.451, 33873, 2266.01
