5, 326.423, 42.8519, 247.074, 51.0752, 656.254, 70.2141, 304.669, 144.189, 234.26, 51.9151, 404.623, 68.1554
10, 1440.83, 142.389, 2103.42, 242.954, 2146.65, 183.603, 1728.13, 189.562, 876.661, 101.401, 2814.66, 253.419
15, 3168.51, 268.925, 5356.05, 489.376, 4287.91, 329.404, 4167.61, 403.847, 2201.67, 217.83, 7069.57, 560.184
20, 6489.6, 459.394, 9818.89, 801.864, 8261.65, 533.196, 7743.21, 678.839, 4593.85, 371.297, 12371.1, 905.253
25, 10498.8, 646.008, 13612.9, 1126.09, 14156.8, 777.293, 12062.1, 1104.57, 7766.48, 542.026, 17515.7, 1272.38
30, 16736, 910.981, 18300.8, 1616.24, 21036.1, 1043.67, 16604, 1567.71, 12428.5, 764.285, 24795.3, 1871.32
