5;249 (37);665 (127);377 (50);378 (68);124 (29);951 (102)
10;875 (107);3,536 (301);1,500 (151);2,748 (272);489 (75);4,773 (366)
15;2,427 (244);8,967 (667);3,341 (289);6,674 (534);1,864 (200);11,067 (706)
20;5,476 (425);14,618 (992);7,522 (506);12,223 (915);4,055 (351);18,387 (1,170)
25;9,670 (635);20,610 (1,439);12,761 (744);17,603 (1,390);8,082 (573);24,673 (1,595)
30;16,632 (913);24,982 (1,966);20,798 (1,043);21,821 (1,802);13,165 (801);31,858 (2,105)
