5;-34;0;-59;12,662;-9;-12,662
10;5;0;-20;25,246;30;-25,246
15;33;0;8;37,357;58;-37,357
20;46;0;21;48,926;71;-48,926
25;50;0;25;60,078;75;-60,078
30;49;0;24;70,933;74;-70,933
