5;475 (47);717 (172);682 (60);372 (46);307 (43);927 (86)
10;1,957 (148);3,693 (265);2,621 (175);2,844 (242);1,278 (118);4,818 (288)
15;4,722 (296);9,747 (573);6,696 (366);7,342 (538);3,399 (241);11,438 (627)
20;9,597 (501);15,413 (859);12,103 (576);12,418 (782);6,922 (408);19,099 (988)
25;15,770 (714);22,876 (1,344);20,734 (841);17,384 (1,115);12,878 (625);26,564 (1,434)
30;23,856 (959);29,429 (1,773);30,567 (1,112);23,722 (1,634);20,582 (879);36,257 (2,059)
