5;819 (78);584 (73);1,227 (105);416 (69);555 (70);936 (95)
10;3,213 (239);4,003 (332);4,835 (309);3,046 (282);2,483 (206);4,872 (354)
15;8,213 (484);9,891 (648);9,906 (552);7,841 (576);6,378 (417);11,817 (732)
20;15,646 (787);17,604 (1,154);19,471 (911);13,568 (985);12,584 (685);20,578 (1,222)
25;24,796 (1,110);24,200 (1,631);28,482 (1,217);20,175 (1,506);20,078 (964);30,576 (1,875)
30;35,961 (1,442);32,364 (2,263);42,803 (1,616);26,357 (2,053);29,762 (1,281);40,617 (2,658)
