5;919 (91);733 (140);1,213 (103);452 (62);703 (80);853 (94)
10;3,937 (272);4,049 (342);5,169 (326);3,172 (309);3,286 (244);5,434 (426)
15;9,504 (537);9,992 (694);11,740 (629);8,880 (680);7,382 (464);12,597 (788)
20;17,139 (852);19,073 (1,248);22,198 (1,007);16,192 (1,163);14,734 (775);21,781 (1,343)
25;27,469 (1,184);27,590 (1,895);33,137 (1,360);23,949 (1,667);23,411 (1,086);32,906 (2,070)
30;40,085 (1,557);37,388 (2,659);47,146 (1,732);31,951 (2,430);34,656 (1,411);44,385 (2,977)
