5;326 (43);247 (51);656 (70);305 (144);234 (52);405 (68)
10;1\,441 (142);2\,103 (243);2\,147 (184);1\,728 (190);877 (101);2\,815 (253)
15;3\,169 (269);5\,356 (489);4\,288 (329);4\,168 (404);2\,202 (218);7\,070 (560)
20;6\,490 (459);9\,819 (802);8\,262 (533);7\,743 (679);4\,594 (371);12\,371 (905)
25;10\,499 (646);13\,613 (1\,126);14\,157 (777);12\,062 (1\,105);7\,766 (542);17\,516 (1\,272)
30;16\,736 (911);18\,301 (1\,616);21\,036 (1\,044);16\,604 (1\,568);12\,428 (764);24\,795 (1\,871)
