5;741 (74);579 (79);1\,166 (101);594 (211);562 (66);884 (92)
10;3\,480 (251);3\,957 (318);4\,348 (296);3\,136 (271);2\,485 (203);5\,156 (373)
15;8\,328 (499);9\,156 (640);10\,084 (561);8\,034 (564);6\,244 (411);12\,037 (759)
20;14\,613 (768);17\,780 (1\,157);18\,010 (872);13\,516 (1\,040);12\,367 (670);21\,469 (1\,281)
25;24\,319 (1\,093);23\,902 (1\,605);30\,267 (1\,266);21\,129 (1\,468);20\,461 (981);30\,228 (1\,872)
30;35\,292 (1\,429);32\,925 (2\,351);42\,630 (1\,606);28\,800 (2\,184);28\,948 (1\,276);39\,146 (2\,515)
