5;912 (84);285 (57);1\,223 (106);217 (75);676 (83);505 (68)
10;3\,305 (250);2\,505 (332);4\,277 (293);1\,647 (182);2\,572 (210);3\,074 (294)
15;7\,267 (463);6\,623 (547);9\,183 (540);4\,868 (474);5\,712 (390);7\,695 (585)
20;13\,680 (721);11\,212 (862);16\,974 (839);9\,745 (814);10\,227 (612);14\,422 (999)
25;20\,779 (986);15\,980 (1\,278);25\,422 (1\,131);14\,950 (1\,208);17\,194 (882);22\,789 (1\,687)
30;30\,297 (1\,304);22\,957 (1\,950);37\,220 (1\,479);22\,229 (1\,935);23\,649 (1\,126);31\,443 (2\,302)
