5;249 (31);665 (106);377 (42);378 (57);124 (24);951 (85)
10;875 (90);3,536 (252);1,500 (127);2,748 (229);489 (63);4,773 (307)
15;2,427 (205);8,967 (559);3,341 (242);6,674 (448);1,864 (168);11,067 (592)
20;5,476 (357);14,618 (833);7,522 (424);12,223 (768);4,055 (295);18,387 (982)
25;9,670 (533);20,610 (1,208);12,761 (624);17,603 (1,166);8,082 (481);24,673 (1,339)
30;16,632 (766);24,982 (1,650);20,798 (875);21,821 (1,513);13,165 (672);31,858 (1,767)
