5;1\,705 (129);336 (61);2\,059 (152);222 (63);1\,147 (106);453 (68)
10;6\,473 (373);2\,157 (239);7\,518 (425);1\,730 (204);4\,472 (297);3\,259 (275)
15;13\,420 (665);6\,420 (518);16\,351 (774);5\,809 (496);10\,930 (587);8\,690 (617)
20;23\,350 (1\,015);11\,462 (879);26\,239 (1\,118);10\,857 (863);18\,448 (869);15\,784 (1\,054)
25;33\,120 (1\,332);20\,204 (1\,528);40\,708 (1\,519);16\,712 (1\,357);28\,149 (1\,186);24\,460 (1\,669)
30;46\,161 (1\,671);28\,800 (2\,353);54\,194 (1\,870);27\,496 (2\,381);39\,135 (1\,499);32\,548 (2\,168)
